filename,CU:,SR:,CS:,species,master_tape
6001200X,0  B5:11.905  4:07.869,40000,1.821,Killer Whale,60012
60026001,1,40960,1.700,Killer Whale,60026
60026002,26,40960,1.700,Killer Whale,60026
60026003,29,40960,1.700,Killer Whale,60026
60026004,118,40960,1.700,Killer Whale,60026
60026005,129,40960,3.000,Killer Whale,60026
60026006,146,40960,1.600,Killer Whale,60026
6002600A,75,40960,1.890,Killer Whale,60026
6002600B,75,40960,1.890,Killer Whale,60026
6002600C,75,40960,1.890,Killer Whale,60026
6002600D,75,40960,1.000,Killer Whale,60026
6002600E,102,40960,1.890,Killer Whale,60026
6002600F,102,40960,1.000,Killer Whale,60026
6002600G,102,40960,1.890,Killer Whale,60026
6002600H,102,40960,1.890,Killer Whale,60026
6002600I,102,40960,1.890,Killer Whale,60026
6002600J,102,40960,1.890,Killer Whale,60026
6002600K,102,40960,1.890,Killer Whale,60026
6002600L,0  B30:01.788  0:08.183,45400,4.141,Killer Whale,60026
6002600M,0  B30:01.788  0:12.004,45400,5.981,Killer Whale,60026
6002600N,0  B30:01.788  0:18.251,45400,2.789,Killer Whale,60026
6002600O,0  B30:01.788  0:21.041,45400,2.947,Killer Whale,60026
6002600P,0  B30:01.788  0:25.381,45400,2.731,Killer Whale,60026
6002600Q,0  B30:01.788  0:39.354,45400,7.243,Killer Whale,60026
6002600R,0  B30:01.788  0:47.503,45400,8.642,Killer Whale,60026
6002600S,0  B30:01.788  0:55.882,45400,3.685,Killer Whale,60026
6002600T,0  B30:01.788  0:59.697,45400,2.545,Killer Whale,60026
6002600U,0  B30:01.788  1:02.443,45400,3.888,Killer Whale,60026
6002600V,0  B30:01.788  1:06.915,45400,1.923,Killer Whale,60026
6002600W,0  B30:01.788  1:08.740,45400,1.465,Killer Whale,60026
6002600X,0  B30:01.788  1:14.542,45400,2.107,Killer Whale,60026
6002600Y,0  B30:01.788  1:17.477,45400,3.523,Killer Whale,60026
6002600Z,0  B30:01.788  1:20.741,45400,1.719,Killer Whale,60026
60026010,0  B30:01.788  1:22.539,45400,1.480,Killer Whale,60026
60026011,0  B30:01.788  1:23.941,45400,4.440,Killer Whale,60026
60026012,0  B30:01.788  1:28.635,45400,4.895,Killer Whale,60026
60026013,0  B30:01.788  1:36.264,45400,3.990,Killer Whale,60026
60026014,0  B30:01.788  1:39.931,45400,4.208,Killer Whale,60026
60026015,0  B30:01.788  1:45.225,45400,2.832,Killer Whale,60026
60026016,0  B30:01.788  1:47.857,45400,1.872,Killer Whale,60026
60026017,0  B30:01.788  1:49.414,45400,1.033,Killer Whale,60026
60026018,0  B30:01.788  1:54.670,45400,1.592,Killer Whale,60026
60026019,0  B30:01.788  1:56.061,45400,1.127,Killer Whale,60026
6002601A,0  B30:01.788  1:57.027,45400,1.972,Killer Whale,60026
6002601B,0  B30:01.788  1:58.839,45400,1.691,Killer Whale,60026
6002601C,0  B30:01.788  2:01.915,45400,2.097,Killer Whale,60026
6002601D,0  B30:01.788  2:04.230,45400,1.932,Killer Whale,60026
6002601E,0  B30:01.788  2:09.019,45400,1.580,Killer Whale,60026
6002601F,0  B30:01.788  2:13.182,45400,2.938,Killer Whale,60026
6002601G,0  B30:01.788  2:30.643,45400,3.422,Killer Whale,60026
6002601H,0  B30:01.788  2:34.066,45400,4.537,Killer Whale,60026
6002601I,0  B30:01.788  2:39.231,45400,2.817,Killer Whale,60026
6002601J,0  B30:01.788  2:46.217,45400,3.965,Killer Whale,60026
6002601K,0  B30:01.788  2:52.987,45400,1.623,Killer Whale,60026
6002601L,0  B30:01.788  2:58.957,45400,3.470,Killer Whale,60026
6002601M,0  B30:01.788  3:04.252,45400,1.286,Killer Whale,60026
6002601N,0  B30:01.788  3:12.057,45400,3.917,Killer Whale,60026
6002601O,0  B30:01.788  3:15.897,45400,1.683,Killer Whale,60026
6002601P,0  B30:01.788  3:17.237,45400,2.809,Killer Whale,60026
6002601Q,0  B30:01.788  3:22.144,45400,1.391,Killer Whale,60026
6002601R,0  B30:01.788  3:44.225,45400,3.385,Killer Whale,60026
6002601S,0  B30:01.788  3:53.254,45400,1.940,Killer Whale,60026
6002601T,0  B30:01.788  3:54.950,45400,2.571,Killer Whale,60026
6002601U,0  B30:01.788  3:57.013,45400,1.750,Killer Whale,60026
6002601V,0  B30:01.788  3:59.971,45400,1.750,Killer Whale,60026
6002601W,0  B30:01.788  4:02.549,45400,3.141,Killer Whale,60026
6002601X,0  B30:01.788  4:09.348,45400,2.872,Killer Whale,60026
6002601Y,0  B30:01.788  4:22.141,45400,3.327,Killer Whale,60026
6002601Z,0  B30:01.788  4:26.277,45400,2.242,Killer Whale,60026
60026020,0  B30:01.788  4:29.575,45400,4.324,Killer Whale,60026
60026021,0  B30:01.788  4:33.899,45400,2.905,Killer Whale,60026
60026022,0  B30:01.788  4:38.535,45400,4.929,Killer Whale,60026
60026023,0  B30:01.788  4:41.480,45400,1.984,Killer Whale,60026
60026024,0  B30:01.788  4:49.029,45400,2.237,Killer Whale,60026
60026025,0  B30:01.788  4:51.211,45400,3.416,Killer Whale,60026
60026026,0  B30:01.788  4:56.762,45400,1.971,Killer Whale,60026
60026027,0  B30:01.788  4:59.512,45400,4.231,Killer Whale,60026
60026028,0  B30:01.788  5:04.245,45400,3.334,Killer Whale,60026
60026029,0  B30:01.788  5:07.094,45400,6.457,Killer Whale,60026
6002602A,0  B30:01.788  5:13.323,45400,2.992,Killer Whale,60026
6002602B,0  B30:01.788  5:26.667,45400,5.853,Killer Whale,60026
6002602C,0  B30:01.788  5:32.504,45400,3.034,Killer Whale,60026
6002602D,0  B30:01.788  5:36.360,45400,4.223,Killer Whale,60026
6002602E,0  B30:01.788  5:40.091,45400,4.962,Killer Whale,60026
6002602F,0  B30:01.788  5:44.679,45400,5.180,Killer Whale,60026
6002602G,0  B30:01.788  5:53.839,45400,2.797,Killer Whale,60026
6002602H,0  B30:01.788  5:58.977,45400,4.184,Killer Whale,60026
6002602I,0  B30:01.788  5:58.974,45400,1.535,Killer Whale,60026
6002602J,0  B30:01.788  6:04.001,45400,1.799,Killer Whale,60026
6002602K,0  B30:01.788  6:05.532,45400,1.929,Killer Whale,60026
6002602L,0  B30:01.788  6:07.154,45400,2.119,Killer Whale,60026
6002602M,0  B30:01.788  6:09.025,45400,2.767,Killer Whale,60026
6002602N,0  B30:01.788  6:11.433,45400,3.035,Killer Whale,60026
6002602O,0  B30:01.788  6:14.184,45400,1.810,Killer Whale,60026
6002602P,0  B30:01.788  6:15.631,45400,2.909,Killer Whale,60026
6002602Q,0  B30:01.788  6:20.163,45400,3.947,Killer Whale,60026
6002602R,0  B30:01.788  6:23.728,45400,3.961,Killer Whale,60026
6002602S,0  B30:01.788  6:28.725,45400,4.849,Killer Whale,60026
6002602T,0  B30:01.788  6:35.608,45400,5.195,Killer Whale,60026
6002602U,0  B30:01.788  6:42.065,45400,3.941,Killer Whale,60026
6002602V,0  B30:01.788  6:45.785,45400,2.068,Killer Whale,60026
6002602W,0  B30:01.788  6:47.392,45400,1.444,Killer Whale,60026
6002602X,0  B30:01.788  6:50.865,45400,3.506,Killer Whale,60026
6002602Y,0  B30:01.788  6:55.595,45400,2.280,Killer Whale,60026
6002602Z,0  B30:01.788  7:10.824,45400,3.059,Killer Whale,60026
60026030,0  B30:01.788  7:13.514,45400,3.810,Killer Whale,60026
60026031,0  B30:01.788  7:18.582,45400,2.756,Killer Whale,60026
60026032,0  B30:01.788  7:25.479,45400,2.538,Killer Whale,60026
60026033,0  B30:01.788  7:33.916,45400,4.974,Killer Whale,60026
60026034,0  B30:01.788  7:43.755,45400,4.585,Killer Whale,60026
60026035,0  B30:01.788  7:49.726,45400,5.573,Killer Whale,60026
60026036,0  B30:01.788  7:59.393,45400,2.112,Killer Whale,60026
60026037,0  B30:01.788  8:09.633,45400,1.388,Killer Whale,60026
60026038,0  B30:01.788  8:15.493,45400,6.048,Killer Whale,60026
60026039,0  B30:01.788  8:21.101,45400,1.985,Killer Whale,60026
6002603A,0  B30:01.788  8:27.018,45400,1.463,Killer Whale,60026
6002603B,0  B30:01.788  8:42.070,45400,6.993,Killer Whale,60026
6002603C,0  B30:01.788  8:56.299,45400,2.703,Killer Whale,60026
6002603D,0  B30:01.788  8:59.293,45400,2.572,Killer Whale,60026
6002603E,0  B30:01.788  9:04.699,45400,2.750,Killer Whale,60026
6002603F,0  B30:01.788  9:07.077,45400,2.407,Killer Whale,60026
6002603G,0  B30:01.788  9:10.854,45400,6.903,Killer Whale,60026
6002603H,0  B30:01.788  9:17.175,45400,9.038,Killer Whale,60026
6002603I,0  B30:01.788  9:26.549,45400,3.410,Killer Whale,60026
6002603J,0  B30:01.788  9:29.416,45400,3.378,Killer Whale,60026
6002603K,0  B30:01.788  9:47.370,45400,3.735,Killer Whale,60026
6002603L,0  B30:01.788  9:52.402,45400,3.358,Killer Whale,60026
6002603M,0  B30:01.788  9:54.338,45400,6.696,Killer Whale,60026
6002603N,0  B30:01.788  10:03.879,45400,3.975,Killer Whale,60026
6002603O,0  B30:01.788  10:03.870,45400,11.374,Killer Whale,60026
6002603P,0  B30:01.788  10:16.419,45400,4.439,Killer Whale,60026
6002603Q,0  B30:01.788  10:23.470,45400,6.329,Killer Whale,60026
6002603R,0  B30:01.788  10:30.439,45400,5.016,Killer Whale,60026
6002603S,0  B30:01.788  10:35.035,45400,2.938,Killer Whale,60026
6002603T,0  B30:01.788  10:37.691,45400,2.814,Killer Whale,60026
6002603U,0  B30:01.788  10:46.893,45400,4.835,Killer Whale,60026
6002603V,0  B30:01.788  10:54.629,45400,2.872,Killer Whale,60026
6002603W,0  B30:01.788  10:58.641,45400,2.295,Killer Whale,60026
6002603X,0  B30:01.788  11:00.612,45400,4.266,Killer Whale,60026
6002603Y,0  B30:01.788  11:03.260,45400,12.319,Killer Whale,60026
6002603Z,0  B30:01.788  11:17.645,45400,10.148,Killer Whale,60026
60026040,0  B30:01.788  11:26.737,45400,6.265,Killer Whale,60026
60026041,0  B30:01.788  11:29.560,45400,1.433,Killer Whale,60026
60026042,0  B30:01.788  11:32.655,45400,3.784,Killer Whale,60026
60026043,0  B30:01.788  11:36.439,45400,4.927,Killer Whale,60026
60026044,0  B30:01.788  11:43.162,45400,1.640,Killer Whale,60026
60026045,0  B30:01.788  11:44.811,45400,2.519,Killer Whale,60026
60026046,0  B30:01.788  11:47.261,45400,6.441,Killer Whale,60026
60026047,0  B30:01.788  11:59.686,45400,2.323,Killer Whale,60026
60026048,0  B30:01.788  12:10.326,45400,4.808,Killer Whale,60026
6002604A,0  B30:01.788  12:40.426,45400,2.913,Killer Whale,60026
6002604B,0  B30:01.788  12:45.800,45400,4.361,Killer Whale,60026
6002604C,0  B30:01.788  12:53.773,45400,3.222,Killer Whale,60026
6002604D,0  B30:01.788  12:57.094,45400,3.324,Killer Whale,60026
6002604E,0  B30:01.788  12:59.980,45400,3.780,Killer Whale,60026
6002604F,0  B30:01.788  13:05.526,45400,3.559,Killer Whale,60026
6002604G,0  B30:01.788  13:17.651,45400,3.397,Killer Whale,60026
6002604H,0  B30:01.788  13:22.187,45400,2.878,Killer Whale,60026
6002604I,0  B30:01.788  13:25.382,45400,2.973,Killer Whale,60026
6002604J,0  B30:01.788  13:32.299,45400,1.612,Killer Whale,60026
6002604K,0  B30:01.788  13:39.520,45400,4.175,Killer Whale,60026
6002604L,0  B30:01.788  13:46.648,45400,2.201,Killer Whale,60026
6002604M,0  B30:01.788  13:53.157,45400,3.053,Killer Whale,60026
6002604N,0  B30:01.788  13:56.405,45400,3.337,Killer Whale,60026
6002604O,0  B30:01.788  14:02.268,45400,5.727,Killer Whale,60026
6002604P,0  B30:01.788  15:14.537,45400,2.372,Killer Whale,60026
6002604Q,0  B30:01.788  15:16.919,45400,1.518,Killer Whale,60026
6002604R,0  B30:01.788  15:23.051,45400,3.522,Killer Whale,60026
6002604S,0  B30:01.788  15:27.416,45400,2.826,Killer Whale,60026
6002604T,0  B30:01.788  15:36.653,45400,2.913,Killer Whale,60026
6002604U,0  B30:01.788  15:45.655,45400,2.203,Killer Whale,60026
6002604V,0  B30:01.788  15:52.224,45400,4.333,Killer Whale,60026
6002604W,0  B30:01.788  16:05.377,45400,4.333,Killer Whale,60026
6002604X,0  B30:01.788  16:10.775,45400,5.184,Killer Whale,60026
6002604Y,0  B30:01.788  16:19.515,45400,2.842,Killer Whale,60026
6002604Z,0  B30:01.788  16:24.827,45400,5.804,Killer Whale,60026
60026051,0  B30:01.788  16:35.748,45400,3.466,Killer Whale,60026
60026052,0  B30:01.788  16:39.215,45400,5.637,Killer Whale,60026
60026053,0  B30:01.788  16:47.107,45400,2.355,Killer Whale,60026
60026054,0  B30:01.788  16:50.035,45400,1.734,Killer Whale,60026
60026055,0  B30:01.788  16:50.035,45400,2.464,Killer Whale,60026
60026056,0  B30:01.788  16:50.035,45400,1.707,Killer Whale,60026
60026057,0  B30:01.788  16:55.945,45400,2.089,Killer Whale,60026
60026058,0  B30:01.788  16:59.695,45400,2.613,Killer Whale,60026
60026059,0  B30:01.788  17:01.872,45400,2.621,Killer Whale,60026
6002605A,0  B30:01.788  17:15.002,45400,1.818,Killer Whale,60026
6002605B,0  B30:01.788  17:16.871,45400,2.598,Killer Whale,60026
6002605C,0  B30:01.788  17:20.403,45400,2.915,Killer Whale,60026
6002605D,0  B30:01.788  17:27.233,45400,1.877,Killer Whale,60026
6002605E,0  B30:01.788  17:29.586,45400,3.133,Killer Whale,60026
6002605F,0  B30:01.788  17:31.836,45400,6.508,Killer Whale,60026
6002605G,0  B30:01.788  17:40.246,45400,3.669,Killer Whale,60026
6002605H,0  B30:01.788  17:43.175,45400,4.747,Killer Whale,60026
6002605I,0  B30:01.788  17:48.440,45400,2.910,Killer Whale,60026
6002605J,0  B30:01.788  17:51.104,45400,3.723,Killer Whale,60026
6002605K,0  B30:01.788  17:57.394,45400,2.535,Killer Whale,60026
6002605L,0  B30:01.788  18:11.209,45400,4.851,Killer Whale,60026
6002605M,0  B30:01.788  18:19.172,45400,1.841,Killer Whale,60026
6002605N,0  B30:01.788  18:21.014,45400,6.225,Killer Whale,60026
6002605O,0  B30:01.788  18:27.865,45400,1.707,Killer Whale,60026
6002605P,0  B30:01.788  18:29.104,45400,3.108,Killer Whale,60026
6002605Q,0  B30:01.788  18:31.926,45400,2.810,Killer Whale,60026
6002605R,0  B30:01.788  18:34.376,45400,1.682,Killer Whale,60026
6002605S,0  B30:01.788  18:35.816,45400,1.711,Killer Whale,60026
6002605T,0  B30:01.788  18:38.196,45400,3.288,Killer Whale,60026
6002605U,0  B30:01.788  18:40.693,45400,8.681,Killer Whale,60026
6002605V,0  B30:01.788  18:53.000,45400,4.945,Killer Whale,60026
6002605W,0  B30:01.788  19:06.953,45400,2.816,Killer Whale,60026
6002605X,0  B30:01.788  19:19.192,45400,3.669,Killer Whale,60026
6002605Y,0  B30:01.788  19:22.350,45400,3.833,Killer Whale,60026
6002605Z,0  B30:01.788  19:57.471,45400,5.138,Killer Whale,60026
60026060,0  B30:01.788  20:27.106,45400,3.541,Killer Whale,60026
60026061,0  B30:01.788  20:33.622,45400,6.291,Killer Whale,60026
60026062,0  B30:01.788  22:04.328,45400,2.942,Killer Whale,60026
60026063,0  B30:01.788  22:06.488,45400,2.907,Killer Whale,60026
60026064,0  B30:01.788  22:29.086,45400,4.569,Killer Whale,60026
60026065,0  B30:01.788  23:06.404,45400,4.053,Killer Whale,60026
60026066,0  B30:01.788  23:29.099,45400,6.117,Killer Whale,60026
60026067,0  B30:01.788  25:34.088,45400,2.702,Killer Whale,60026
60026068,0  B30:01.788  24:41.022,45400,2.897,Killer Whale,60026
60026069,0  B30:01.788  24:43.627,45400,4.097,Killer Whale,60026
6002606A,0  B30:01.788  23:55.410,45400,5.446,Killer Whale,60026
6002606B,0  B30:01.788  25:49.955,45400,6.466,Killer Whale,60026
6002606C,146,40960,5.981,Killer Whale,60026
6002606D,0  B30:01.788  0:12.883,45400,1.404,Killer Whale,60026
6002606E,0  B30:01.788  0:21.041,45400,1.467,Killer Whale,60026
6002606F,0  B30:01.788  1:02.832,45400,0.701,Killer Whale,60026
6002606G,0  B30:01.788  1:09.381,45400,0.824,Killer Whale,60026
6002606H,0  B30:01.788  1:23.941,45400,1.517,Killer Whale,60026
6002606I,0  B30:01.788  2:09.347,45400,1.000,Killer Whale,60026
6002606J,0  B30:01.788  2:31.815,45400,1.222,Killer Whale,60026
6002606K,0  B30:01.788  2:46.217,45400,1.592,Killer Whale,60026
6002606L,0  B30:01.788  3:44.225,45400,1.431,Killer Whale,60026
6002606M,0  B30:01.788  3:46.008,45400,1.601,Killer Whale,60026
6002606N,0  B30:01.788  4:39.020,45400,1.011,Killer Whale,60026
6002606O,0  B30:01.788  4:40.581,45400,1.071,Killer Whale,60026
6002606P,0  B30:01.788  4:41.691,45400,1.564,Killer Whale,60026
6002606Q,0  B30:01.788  5:04.790,45400,0.890,Killer Whale,60026
6002606R,0  B30:01.788  5:40.091,45400,1.666,Killer Whale,60026
6002606S,0  B30:01.788  5:47.364,45400,1.394,Killer Whale,60026
6002606T,0  B30:01.788  5:54.803,45400,1.097,Killer Whale,60026
6002606U,0  B30:01.788  4:35.649,45400,0.680,Killer Whale,60026
6002606V,0  B30:01.788  6:07.154,45400,1.168,Killer Whale,60026
6002606W,0  B30:01.788  7:34.413,45400,1.802,Killer Whale,60026
6002606X,0  B30:01.788  0:56.281,45400,1.031,Killer Whale,60026
6002606Y,0  B30:01.788  11:36.439,45400,2.112,Killer Whale,60026
6002606Z,0  B30:01.788  11:45.086,45400,1.368,Killer Whale,60026
60026070,0  B30:01.788  12:10.680,45400,3.497,Killer Whale,60026
60026071,0  B30:01.788  12:41.009,45400,1.819,Killer Whale,60026
60026073,0  B30:01.788  12:57.094,45400,0.663,Killer Whale,60026
60026074,0  B30:01.788  12:59.240,45400,0.673,Killer Whale,60026
60026075,0  B30:01.788  13:00.454,45400,1.267,Killer Whale,60026
60026076,0  B30:01.788  13:01.544,45400,1.398,Killer Whale,60026
60026077,0  B30:01.788  11:36.439,45400,2.112,Killer Whale,60026
60026078,0  B30:01.788  13:18.034,45400,1.734,Killer Whale,60026
60026079,0  B30:01.788  13:32.828,45400,1.082,Killer Whale,60026
6002607A,0  B30:01.788  13:39.520,45400,1.401,Killer Whale,60026
6002607B,0  B30:01.788  13:53.157,45400,1.983,Killer Whale,60026
6002607C,0  B30:01.788  15:27.416,45400,1.701,Killer Whale,60026
6002607D,0  B30:01.788  15:36.653,45400,1.099,Killer Whale,60026
6002607E,0  B30:01.788  15:37.642,45400,0.893,Killer Whale,60026
6002607F,0  B30:01.788  16:40.554,45400,2.003,Killer Whale,60026
6002607G,0  B30:01.788  16:55.945,45400,0.839,Killer Whale,60026
6002607H,0  B30:01.788  17:02.330,45400,1.000,Killer Whale,60026
6002607I,0  B30:01.788  17:30.371,45400,1.522,Killer Whale,60026
6002607J,0  B30:01.788  17:43.828,45400,2.906,Killer Whale,60026
6002607K,0  B30:01.788  18:19.610,45400,1.306,Killer Whale,60026
6002607L,0  B30:01.788  18:21.985,45400,1.359,Killer Whale,60026
6002607M,0  B30:01.788  18:23.459,45400,0.800,Killer Whale,60026
6002607N,0  B30:01.788  18:24.102,45400,2.027,Killer Whale,60026
6002607O,0  B30:01.788  19:22.350,45400,2.634,Killer Whale,60026
6002607P,0  B30:01.788  20:27.106,45400,2.359,Killer Whale,60026
6002607Q,0  B30:01.788  25:50.552,45400,1.359,Killer Whale,60026
61062001,130,10240,3.300,Killer Whale,61062
61062002,178,10240,1.891,Killer Whale,61062
61062003,196,10240,3.500,Killer Whale,61062
61062004,214,10240,1.884,Killer Whale,61062
61062005,218,10240,1.884,Killer Whale,61062
61062006,223,10240,3.769,Killer Whale,61062
64020001,401,20480,1.887,Killer Whale,64020
64020002,448,20480,1.887,Killer Whale,64020
64020003,502,20480,1.887,Killer Whale,64020
64023001,184,10240,1.884,Killer Whale,64023
64023002,441,20480,1.400,Killer Whale,64023
64025001,199,20000,5.500,Killer Whale,64025
64025002,214,20000,4.700,Killer Whale,64025
64025003,233,20000,3.190,Killer Whale,64025
64025004,239,20000,4.600,Killer Whale,64025
64025005,250,20000,4.900,Killer Whale,64025
64025006,263,20000,4.600,Killer Whale,64025
64025007,271,20000,2.400,Killer Whale,64025
64025008,289,20000,3.030,Killer Whale,64025
64025009,303,20000,3.190,Killer Whale,64025
64030001,0  B16:00  0:04.885,40000,0.988,Killer Whale,64030
64030002,0  B16:00  0:06.373,40000,1.185,Killer Whale,64030
64030003,0  B16:00  0:07.897,40000,1.370,Killer Whale,64030
64030004,0  B16:00  0:09.721,40000,1.028,Killer Whale,64030
64030005,0  B16:00  0:11.078,40000,1.273,Killer Whale,64030
64030006,0  B16:00  0:12.640,40000,1.191,Killer Whale,64030
64030007,0  B16:00  0:14.281,40000,1.439,Killer Whale,64030
64030008,0  B16:00  0:16.023,40000,1.145,Killer Whale,64030
64030009,0  B16:00  0:17.564,40000,1.194,Killer Whale,64030
6403000A,0  B16:00  0:18.892,40000,1.157,Killer Whale,64030
6403000B,0  B16:00  0:20.491,40000,1.043,Killer Whale,64030
6403000C,0  B16:00  0:22.010,40000,1.031,Killer Whale,64030
6403000D,0  B16:00  0:23.478,40000,1.031,Killer Whale,64030
6403000E,0  B16:00  0:25.043,40000,0.951,Killer Whale,64030
6403000F,0  B16:00  0:26.533,40000,1.154,Killer Whale,64030
6403000G,0  B16:00  0:28.235,40000,0.957,Killer Whale,64030
6403000H,0  B16:00  0:29.785,40000,1.159,Killer Whale,64030
6403000I,0  B16:00  0:31.504,40000,1.031,Killer Whale,64030
6403000J,0  B16:00  0:33.157,40000,1.175,Killer Whale,64030
6403000K,0  B16:00  0:34.611,40000,1.219,Killer Whale,64030
6403000L,0  B16:00  0:36.168,40000,1.138,Killer Whale,64030
6403000M,0  B16:00  0:37.650,40000,1.214,Killer Whale,64030
6403000N,0  B16:00  0:39.314,40000,1.164,Killer Whale,64030
6403000O,0  B16:00  0:40.744,40000,1.224,Killer Whale,64030
6403000P,0  B16:00  0:44.972,40000,1.463,Killer Whale,64030
6403000Q,0  B16:00  0:49.974,40000,1.777,Killer Whale,64030
6403000R,0  B16:00  1:12.692,40000,2.041,Killer Whale,64030
6403000S,0  B16:00  1:18.198,40000,2.280,Killer Whale,64030
6403000T,0  B16:00  1:34.725,40000,2.688,Killer Whale,64030
6403000U,0  B16:00  2:03.617,40000,3.284,Killer Whale,64030
6403000V,0  B16:00  2:18.217,40000,3.028,Killer Whale,64030
6403000W,0  B16:00  6:14.378,40000,1.629,Killer Whale,64030
6403000X,0  B16:00  6:16.008,40000,2.553,Killer Whale,64030
6403000Y,0  B16:00  6:30.120,40000,1.864,Killer Whale,64030
6403000Z,0  B16:00  6:42.468,40000,2.049,Killer Whale,64030
64031001,0  B12:55   0:25.014,40000,2.113,Killer Whale,64031
64031002,0  B12:55   0:32.041,40000,2.168,Killer Whale,64031
64031003,0  B12:55   0:35.745,40000,1.778,Killer Whale,64031
64031004,0  B12:55   0:37.215,40000,2.726,Killer Whale,64031
64031005,0  B12:55   0:40.324,40000,2.962,Killer Whale,64031
64031006,0  B12:55   0:43.794,40000,2.601,Killer Whale,64031
64031007,0  B12:55   0:46.770,40000,2.690,Killer Whale,64031
64031008,0  B12:55   0:50.100,40000,1.690,Killer Whale,64031
64031009,0  B12:55   0:51.680,40000,2.616,Killer Whale,64031
6403100A,0  B12:55   0:54.231,40000,3.101,Killer Whale,64031
6403100B,0  B12:55   1:00.552,40000,2.058,Killer Whale,64031
6403100C,0  B12:55   1:02.301,40000,2.094,Killer Whale,64031
6403100D,0  B12:55   1:07.725,40000,2.506,Killer Whale,64031
6403100E,0  B12:55   1:12.819,40000,2.748,Killer Whale,64031
6403100F,0  B12:55   1:43.667,40000,1.903,Killer Whale,64031
6403100G,0  B12:55   1:50.179,40000,2.102,Killer Whale,64031
6403100H,0  B12:55   1:57.418,40000,2.337,Killer Whale,64031
6403100I,0  B12:55   2:10.884,40000,2.035,Killer Whale,64031
6403100J,0  B12:55   2:15.646,40000,1.903,Killer Whale,64031
6403100K,0  B12:55   2:20.122,40000,1.844,Killer Whale,64031
6403100L,0  B12:55   2:22.789,40000,2.215,Killer Whale,64031
6403100M,0  B12:55   2:28.261,40000,1.869,Killer Whale,64031
6403100N,0  B12:55   2:31.266,40000,2.345,Killer Whale,64031
6403100O,0  B12:55   2:38.165,40000,2.184,Killer Whale,64031
6403100P,0  B12:55   2:41.106,40000,1.816,Killer Whale,64031
6403100Q,0  B12:55   2:42.771,40000,2.551,Killer Whale,64031
6403100R,0  B12:55   2:45.755,40000,1.989,Killer Whale,64031
6403100S,0  B12:55   2:47.809,40000,2.400,Killer Whale,64031
6403100T,0  B12:55   2:50.102,40000,2.443,Killer Whale,64031
6403100U,0  B12:55   2:52.545,40000,2.443,Killer Whale,64031
6403100V,0  B12:55   2:56.957,40000,2.595,Killer Whale,64031
