filename,CU:,SR:,CS:,species
6102600Q,0  B16:26.2  2:03.406,80000,1.435,Atlantic Spotted Dolphin
6102600R,0  B16:26.2  2:05.750,80000,1.332,Atlantic Spotted Dolphin
6102600S,0  B16:26.2  2:07.035,80000,1.890,Atlantic Spotted Dolphin
6102600T,0  B16:26.2  2:08.817,80000,1.487,Atlantic Spotted Dolphin
6102600U,0  B16:26.2  2:10.577,80000,2.028,Atlantic Spotted Dolphin
6102600V,0  B16:26.2  2:13.618,80000,1.569,Atlantic Spotted Dolphin
6102600W,0  B16:26.2  2:15.161,80000,1.381,Atlantic Spotted Dolphin
6102600X,0  B16:26.2  2:16.825,80000,1.635,Atlantic Spotted Dolphin
6102600Y,0  B16:26.2  2:18.517,80000,1.649,Atlantic Spotted Dolphin
6102600Z,0  B16:26.2  2:20.421,80000,1.311,Atlantic Spotted Dolphin
61026010,0  B16:26.2  2:22.056,80000,1.325,Atlantic Spotted Dolphin
61026011,0  B16:26.2  2:25.102,80000,1.297,Atlantic Spotted Dolphin
61026012,0  B16:26.2  2:26.427,80000,1.438,Atlantic Spotted Dolphin
61026013,0  B16:26.2  2:33.477,80000,1.226,Atlantic Spotted Dolphin
61026014,0  B16:26.2  2:35.339,80000,1.269,Atlantic Spotted Dolphin
61026015,0  B16:26.2  2:40.358,80000,1.240,Atlantic Spotted Dolphin
61026016,0  B16:26.2  2:41.796,80000,1.381,Atlantic Spotted Dolphin
61026017,0  B16:26.2  2:43.192,80000,1.269,Atlantic Spotted Dolphin
61026018,0  B16:26.2  2:44.842,80000,1.833,Atlantic Spotted Dolphin
61026019,0  B16:26.2  2:55.910,80000,1.128,Atlantic Spotted Dolphin
6102601A,0  B16:26.2  2:57.151,80000,1.367,Atlantic Spotted Dolphin
6102601B,0  B16:26.2  3:00.422,80000,1.353,Atlantic Spotted Dolphin
6102601C,0  B16:26.2  3:01.889,80000,1.466,Atlantic Spotted Dolphin
6102601D,0  B16:26.2  3:04.737,80000,1.212,Atlantic Spotted Dolphin
6102601E,0  B16:26.2  3:06.091,80000,1.438,Atlantic Spotted Dolphin
6102601F,0  B16:26.2  3:07.557,80000,1.551,Atlantic Spotted Dolphin
6102601G,0  B16:26.2  3:14.184,80000,2.157,Atlantic Spotted Dolphin
6102601H,0  B16:26.2  3:20.599,80000,1.579,Atlantic Spotted Dolphin
6102601I,0  B16:26.2  3:23.800,80000,1.325,Atlantic Spotted Dolphin
6102601J,0  B16:26.2  3:25.182,80000,1.395,Atlantic Spotted Dolphin
6102601K,0  B16:26.2  3:28.735,80000,1.579,Atlantic Spotted Dolphin
6102601L,0  B16:26.2  3:31.442,80000,1.494,Atlantic Spotted Dolphin
6102601M,0  B16:26.2  3:34.065,80000,1.424,Atlantic Spotted Dolphin
6102601N,0  B16:26.2  3:35.574,80000,1.297,Atlantic Spotted Dolphin
6102601O,0  B16:26.2  3:36.970,80000,1.565,Atlantic Spotted Dolphin
6102601P,0  B16:26.2  3:40.762,80000,1.283,Atlantic Spotted Dolphin
6102601Q,0  B16:26.2  3:42.243,80000,1.494,Atlantic Spotted Dolphin
6102601R,0  B16:26.2  3:44.316,80000,1.536,Atlantic Spotted Dolphin
6102601S,0  B16:26.2  3:45.895,80000,1.424,Atlantic Spotted Dolphin
6102601T,0  B16:26.2  3:47.474,80000,1.536,Atlantic Spotted Dolphin
6102601U,0  B16:26.2  3:50.773,80000,1.734,Atlantic Spotted Dolphin
6102601V,0  B16:26.2  3:50.971,80000,1.565,Atlantic Spotted Dolphin
6102601W,0  B16:26.2  3:52.663,80000,1.621,Atlantic Spotted Dolphin
6102601X,0  B16:26.2  3:54.524,80000,1.861,Atlantic Spotted Dolphin
6102601Y,0  B16:26.2  3:56.484,80000,1.551,Atlantic Spotted Dolphin
6102601Z,0  B16:26.2  4:02.928,80000,1.339,Atlantic Spotted Dolphin
61026020,0  B16:26.2  4:04.732,80000,1.424,Atlantic Spotted Dolphin
61026021,0  B16:26.2  4:07.806,80000,1.536,Atlantic Spotted Dolphin
61026022,0  B16:26.2  4:10.161,80000,1.438,Atlantic Spotted Dolphin
61026023,0  B16:26.2  4:14.222,80000,1.212,Atlantic Spotted Dolphin
61026024,0  B16:26.2  4:16.816,80000,1.212,Atlantic Spotted Dolphin
61026025,0  B16:26.2  4:18.057,80000,1.551,Atlantic Spotted Dolphin
61026026,0  B16:26.2  4:19.974,80000,1.551,Atlantic Spotted Dolphin
61026027,0  B16:26.2  4:26.263,80000,1.254,Atlantic Spotted Dolphin
61026028,0  B16:26.2  4:29.873,80000,1.128,Atlantic Spotted Dolphin
61026029,0  B16:26.2  4:32.354,80000,1.128,Atlantic Spotted Dolphin
6102602A,0  B16:26.2  4:33.933,80000,1.254,Atlantic Spotted Dolphin
6102602B,0  B16:26.2  4:35.484,80000,1.283,Atlantic Spotted Dolphin
6102602C,0  B16:26.2  4:40.180,80000,1.339,Atlantic Spotted Dolphin
6102602D,0  B16:26.2  4:41.759,80000,1.297,Atlantic Spotted Dolphin
6102602E,0  B16:26.2  4:43.070,80000,1.452,Atlantic Spotted Dolphin
6102602F,0  B16:26.2  4:50.861,80000,1.677,Atlantic Spotted Dolphin
6102602G,0  B16:26.2  4:57.509,80000,1.579,Atlantic Spotted Dolphin
6102602H,0  B16:26.2  5:00.216,80000,1.692,Atlantic Spotted Dolphin
6102602I,0  B16:26.2  5:03.586,80000,1.240,Atlantic Spotted Dolphin
6102602J,0  B16:26.2  5:10.932,80000,1.579,Atlantic Spotted Dolphin
6102602K,0  B16:26.2  5:14.288,80000,1.438,Atlantic Spotted Dolphin
6102602L,0  B16:26.2  5:16.360,80000,1.226,Atlantic Spotted Dolphin
6102602M,0  B16:26.2  5:22.564,80000,1.607,Atlantic Spotted Dolphin
6102602N,0  B16:26.2  5:24.299,80000,1.410,Atlantic Spotted Dolphin
6102602O,0  B16:26.2  5:26.216,80000,1.452,Atlantic Spotted Dolphin
6102602P,0  B16:26.2  5:28.247,80000,1.297,Atlantic Spotted Dolphin
6102602Q,0  B16:26.2  5:30.615,80000,1.438,Atlantic Spotted Dolphin
6102602R,0  B16:26.2  5:32.871,80000,1.551,Atlantic Spotted Dolphin
6102602S,0  B16:26.2  5:35.466,80000,1.184,Atlantic Spotted Dolphin
6102602T,0  B16:26.2  5:41.064,80000,1.790,Atlantic Spotted Dolphin
6102602U,0  B16:26.2  5:43.334,80000,1.692,Atlantic Spotted Dolphin
6102602V,0  B16:26.2  5:48.240,80000,1.254,Atlantic Spotted Dolphin
6102602W,0  B16:26.2  5:51.060,80000,1.142,Atlantic Spotted Dolphin
6102602X,0  B16:26.2  5:53.542,80000,1.269,Atlantic Spotted Dolphin
6102602Y,0  B16:26.2  5:55.178,80000,1.353,Atlantic Spotted Dolphin
6102602Z,0  B16:26.2  5:56.954,80000,1.381,Atlantic Spotted Dolphin
61026030,0  B16:26.2  6:02.792,80000,1.198,Atlantic Spotted Dolphin
61026031,0  B16:26.2  6:09.221,80000,1.494,Atlantic Spotted Dolphin
61026032,0  B16:26.2  6:10.688,80000,1.593,Atlantic Spotted Dolphin
61026033,0  B16:26.2  6:10.772,80000,1.522,Atlantic Spotted Dolphin
61026034,0  B16:26.2  6:12.986,80000,1.226,Atlantic Spotted Dolphin
61026035,0  B16:26.2  6:15.355,80000,1.452,Atlantic Spotted Dolphin
61026036,0  B16:26.2  6:16.962,80000,1.367,Atlantic Spotted Dolphin
61026037,0  B16:26.2  6:18.753,80000,1.438,Atlantic Spotted Dolphin
61026038,0  B16:26.2  6:20.656,80000,1.381,Atlantic Spotted Dolphin
61026039,0  B16:26.2  6:22.447,80000,1.240,Atlantic Spotted Dolphin
6102603A,0  B16:26.2  6:30.752,80000,1.395,Atlantic Spotted Dolphin
6102603B,0  B16:26.2  6:34.770,80000,1.269,Atlantic Spotted Dolphin
6102603C,0  B16:26.2  6:36.124,80000,1.607,Atlantic Spotted Dolphin
6102603D,0  B16:26.2  6:38.042,80000,1.452,Atlantic Spotted Dolphin
6102603E,0  B16:26.2  6:48.391,80000,1.508,Atlantic Spotted Dolphin
6102603F,0  B16:26.2  6:49.970,80000,1.395,Atlantic Spotted Dolphin
6102603G,0  B16:26.2  6:53.354,80000,1.240,Atlantic Spotted Dolphin
6102603H,0  B16:26.2  6:55.159,80000,1.452,Atlantic Spotted Dolphin
6102603I,0  B16:26.2  7:05.720,80000,1.057,Atlantic Spotted Dolphin
6102603J,0  B16:26.2  7:09.315,80000,1.240,Atlantic Spotted Dolphin
6102603K,0  B16:26.2  7:10.824,80000,1.311,Atlantic Spotted Dolphin
6102603L,0  B16:26.2  7:16.251,80000,1.271,Atlantic Spotted Dolphin
6102603M,0  B16:26.2  7:18.229,80000,1.568,Atlantic Spotted Dolphin
6102603N,0  B16:26.2  7:20.702,80000,1.568,Atlantic Spotted Dolphin
6102603O,0  B16:26.2  7:32.026,80000,1.248,Atlantic Spotted Dolphin
6102603P,0  B16:26.2  7:42.584,80000,1.446,Atlantic Spotted Dolphin
6102603Q,0  B16:26.2  7:45.167,80000,1.631,Atlantic Spotted Dolphin
6102603R,0  B16:26.2  7:52.954,80000,0.989,Atlantic Spotted Dolphin
6102603S,0  B16:26.2  7:53.042,80000,1.298,Atlantic Spotted Dolphin
6102603T,0  B16:26.2  7:59.730,80000,1.236,Atlantic Spotted Dolphin
6102603U,0  B16:26.2  8:01.115,80000,1.335,Atlantic Spotted Dolphin
6102603V,0  B16:26.2  8:07.383,80000,1.483,Atlantic Spotted Dolphin
6102603W,0  B16:26.2  8:09.163,80000,1.384,Atlantic Spotted Dolphin
6102603X,0  B16:26.2  8:11.673,80000,1.310,Atlantic Spotted Dolphin
6102603Y,0  B16:26.2  8:16.321,80000,1.396,Atlantic Spotted Dolphin
6102603Z,0  B16:26.2  8:17.767,80000,1.384,Atlantic Spotted Dolphin
61026040,0  B16:26.2  8:19.646,80000,1.335,Atlantic Spotted Dolphin
61026041,0  B16:26.2  8:23.800,80000,1.384,Atlantic Spotted Dolphin
61026042,0  B16:26.2  8:26.668,80000,1.594,Atlantic Spotted Dolphin
61026043,0  B16:26.2  8:37.980,80000,1.372,Atlantic Spotted Dolphin
61026044,0  B16:26.2  8:43.419,80000,1.483,Atlantic Spotted Dolphin
61026045,0  B16:26.2  8:45.163,80000,1.260,Atlantic Spotted Dolphin
61026046,0  B16:26.2  8:47.338,80000,1.557,Atlantic Spotted Dolphin
61026047,0  B16:26.2  8:50.404,80000,1.755,Atlantic Spotted Dolphin
61026048,0  B16:26.2  8:59.243,80000,1.396,Atlantic Spotted Dolphin
61026049,0  B16:26.2  9:02.285,80000,1.372,Atlantic Spotted Dolphin
6102604A,0  B16:26.2  9:03.669,80000,1.520,Atlantic Spotted Dolphin
6102604B,0  B16:26.2  9:05.252,80000,1.421,Atlantic Spotted Dolphin
6102604C,0  B16:26.2  9:08.355,80000,1.236,Atlantic Spotted Dolphin
6102604D,0  B16:26.2  9:09.652,80000,1.682,Atlantic Spotted Dolphin
6102604E,0  B16:26.2  9:11.179,80000,1.601,Atlantic Spotted Dolphin
6102604F,0  B16:26.2  9:14.125,80000,1.860,Atlantic Spotted Dolphin
6102604G,0  B16:26.2  9:15.899,80000,1.774,Atlantic Spotted Dolphin
6102604H,0  B16:26.2  9:21.675,80000,2.067,Atlantic Spotted Dolphin
6102604I,0  B16:26.2  9:26.222,80000,1.929,Atlantic Spotted Dolphin
6102604J,0  B16:26.2  9:30.804,80000,1.929,Atlantic Spotted Dolphin
6102604K,0  B16:26.2  9:35.747,80000,1.670,Atlantic Spotted Dolphin
6102604L,0  B16:26.2  9:38.262,80000,1.756,Atlantic Spotted Dolphin
6102604M,0  B16:26.2  9:46.134,80000,1.584,Atlantic Spotted Dolphin
6102604N,0  B16:26.2  9:47.529,80000,1.894,Atlantic Spotted Dolphin
6102604O,0  B16:26.2  10:00.844,80000,1.860,Atlantic Spotted Dolphin
6102604P,0  B16:26.2  10:31.419,80000,1.929,Atlantic Spotted Dolphin
6102604Q,0  B16:26.2  10:34.278,80000,1.808,Atlantic Spotted Dolphin
6102604R,0  B16:26.2  10:39.911,80000,1.619,Atlantic Spotted Dolphin
6102604S,0  B16:26.2  10:41.616,80000,1.188,Atlantic Spotted Dolphin
6102604T,0  B16:26.2  10:45.629,80000,1.360,Atlantic Spotted Dolphin
6102604U,0  B16:26.2  10:55.516,80000,1.774,Atlantic Spotted Dolphin
6102604V,0  B16:26.2  11:01.649,80000,1.240,Atlantic Spotted Dolphin
6102604W,0  B16:26.2  11:07.712,80000,1.515,Atlantic Spotted Dolphin
6102604X,0  B16:26.2  11:13.017,80000,1.378,Atlantic Spotted Dolphin
6102604Y,0  B16:26.2  11:17.740,80000,1.712,Atlantic Spotted Dolphin
6102604Z,0  B16:26.2  11:19.458,80000,1.390,Atlantic Spotted Dolphin
61026050,0  B16:26.2  11:22.504,80000,1.559,Atlantic Spotted Dolphin
61026051,0  B16:26.2  11:42.337,80000,1.052,Atlantic Spotted Dolphin
61026052,0  B16:26.2  11:46.498,80000,1.739,Atlantic Spotted Dolphin
61026053,0  B16:26.2  11:48.561,80000,1.216,Atlantic Spotted Dolphin
72006001,0  B3:00  00:07.052,80000,1.438,Atlantic Spotted Dolphin
72006002,0  B3:00  00:59.249,80000,2.118,Atlantic Spotted Dolphin
72006003,0  B3:00  1:07.171,80000,3.415,Atlantic Spotted Dolphin
72006004,0  B3:00  1:58.155,80000,2.184,Atlantic Spotted Dolphin
72006005,0  B3:00  2:10.939,80000,2.210,Atlantic Spotted Dolphin
72006006,0  B3:00  2:13.019,80000,1.820,Atlantic Spotted Dolphin
72006007,0  B3:00  2:22.727,80000,1.619,Atlantic Spotted Dolphin
66036001,0  B:16:05.139  0:38.886,14900,44.312,Bearded Seal
66036002,0  B:16:05.139  7:24.648,14900,22.655,Bearded Seal
66036003,0  B:16:05.139  10:57.420,14900,8.433,Bearded Seal
66036004,0  B:16:05.139  11:05.992,14900,19.493,Bearded Seal
66036005,0  B:16:05.139  14:51.591,14900,3.229,Bearded Seal
66037001,0  B16:20.021  0:59.294,14900,17.508,Bearded Seal
66037002,0  B16:20.021  2:17.439,14900,4.395,Bearded Seal
66037003,0  B16:20.021  9:53.292,14900,1:05.773,Bearded Seal
66037004,0  B16:20.021  11:03.065,14900,17.315,Bearded Seal
66037005,0  B16:20.021  14:49.797,14900,56.726,Bearded Seal
66038001,342,18000,5.2,Bearded Seal
66038002,361,18000,8.2,Bearded Seal
66038003,199,30000,6.5,Bearded Seal
66038004,212,18000,10.9,Bearded Seal
66038005,229,18000,10.9,Bearded Seal
66038006,256,18000,2.8,Bearded Seal
66038007,282,18000,10.7,Bearded Seal
66038008,529,18000,10.5,Walrus
66038009,771,18000,6.1,Walrus
6603800A,821,18000,5.2,Walrus
66039001,0  B16:31.398  1:24.406,14900,5.727,Bearded Seal
66039002,0  B16:31.398  1:36.801,14900,56.520,Bearded Seal
66039003,0  B16:31.398  2:59.170,14900,9.890,Bearded Seal
66039004,0  B16:31.398  3:58.958,14900,24.904,Bearded Seal
66039005,0  B16:31.398  4:50.786,14900,16.288,Bearded Seal
66039006,0  B16:31.398  5:10.352,14900,18.980,Bearded Seal
66039007,0  B16:31.398  5:47.824,14900,20.583,Bearded Seal
66039008,0  B16:31.398  7:19.915,14900,12.546,Bearded Seal
66039009,0  B16:31.398  7:40.242,14900,15.670,Bearded Seal
6603900A,0  B16:31.398  8:47.021,14900,28.678,Bearded Seal
6603900B,0  B16:31.398  9:24.017,14900,35.738,Bearded Seal
6603900C,0  B16:31.398  10:31.407,14900,11.441,Bearded Seal
6603900D,0  B16:31.398  10:42.336,14900,45.577,Bearded Seal
67027008,154  B14.0  9.425,20480,2.362,Ribbon Seal
6702700A,202  B14.0  5.875,20480,4.650,Ribbon Seal
6702700B,231  B28  4.162,10240,23.20,Ribbon Seal
70024001,206  B14  9.355,20480,3.781,Walrus
70024002,230  B14  12.29,20480,0.7875,Walrus
70024003,249  B14  7.403,20480,1.837,Walrus
70024004,267  B14  0.3312,20480,3.181,Walrus
70024005,310  B14  4.450,20480,6.487,Walrus
70024006,330  B14  1.281,20480,3.756,Walrus
70024007,509  B14  0.3000,20480,2.343,Walrus
70024009,593  B14  9.500,20480,3.525,Walrus
7002400A,593  B14  0.000,20480,7.925,Walrus
70025001,52  B14.0  4.525,20480,3.781,Bearded Seal
70025002,67  B14.0  3.806,20480,3.606,Bearded Seal
70025003,84  B14.0  1.602,20480,3.781,Bearded Seal
70025004,84  B14.0  6.877,20480,3.781,Bearded Seal
70025005,100  B14.0  10.31,20480,1.891,Bearded Seal
70025006,115  B14.0  10.25,20480,3.419,Bearded Seal
70025007,124  B14.0  6.311,20480,2.806,Bearded Seal
70025008,173  B28  3.166,10240,1.762,Bearded Seal
70025009,173  B28  7.025,10240,2.656,Bearded Seal
7002500A,173  B28  14.22,10240,13.52,Bearded Seal
7002500B,207  B28.0  23.18,10240,1.891,Bearded Seal
71012001,176  B16  11.73,5120,1.891,Bearded Seal
71012002,185  B16  9.397,5120,1.891,Bearded Seal
71012003,195  B16  13.79,5120,1.000,Bearded Seal
71012004,206  B16  9.037,5120,1.000,Bearded Seal
71012005,206  B16  10.87,5120,1.000,Bearded Seal
71012006,206  B16  13.95,5120,1.512,Bearded Seal
71012007,206  B16  14.28,5120,1.612,Bearded Seal
71012008,219  B16  10.27,5120,1.116,Bearded Seal
71012009,219  B16  11.98,5120,1.116,Bearded Seal
7101200A,225  B14  6.142,20480,1.731,Bearded Seal
7101200B,225  B14  8.592,20480,1.416,Bearded Seal
7101200C,225  B14  13.75,20480,1.047,Bearded Seal
7101200D,233  B14  0.5562,20480,1.462,Bearded Seal
7101200E,233  B14  1.978,20480,1.403,Bearded Seal
7101200F,233  B14  11.38,20480,1.741,Bearded Seal
7101200G,242  B14  1.059,20480,1.891,Bearded Seal
7101200H,242  B14  3.837,20480,1.053,Bearded Seal
7101200I,242  B14  8.006,20480,1.256,Bearded Seal
7101200J,242  B14  9.481,20480,1.319,Bearded Seal
72021001,19  B190.0,10240,190.0,Walrus
72021002,146 B190.0,10240,190.0,Bowhead Whale
72021003,197 B190.0,10240,190.0,Bowhead Whale
72021004,247 B190.0,10240,190.0,Bowhead Whale
72021005,323 B190.0,10240,190.0,Bowhead Whale
72021006,380 B190.0,10240,190.0,Bowhead Whale
72021007,438 B190.0,10240,190.0,Bowhead Whale
72021008,503 B190.0,10240,190.0,Bowhead Whale
72021009,570 B190.0,10240,190.0,Bowhead Whale
7202100A,503 B190.0,10240,190.0,Bowhead Whale
7202100B,749 B190.0,10240,190.0,Bowhead Whale
7202100D,118  B190.0  8.394,10240,3.781,Bowhead Whale
7202100E,118  B190.0  16.71,10240,3.781,Bowhead Whale
7202100F,118  B190.0  19.97,10240,3.781,Bowhead Whale
7202100G,118  B190.0  23.16,10240,3.344,Bowhead Whale
7202100H,118  B190.0  76.09,10240,3.781,Bowhead Whale
7202100I,118  B190.0  83.46,10240,3.781,Bowhead Whale
7202100J,118  B190.0  102.0,10240,3.781,Bowhead Whale
7202100K,118  B190.0  105.6,10240,3.781,Bowhead Whale
7202100O,118  B190.0  134.9,10240,3.781,Bowhead Whale
7202100P,118  B190.0  182.4,10240,3.781,Bowhead Whale
7202100S,199  B190.0  12.91,10240,3.781,Bowhead Whale
7202100T,199  B190.0  18.45,10240,3.781,Bowhead Whale
7202100U,199  B190.0  21.59,10240,3.781,Bowhead Whale
7202100V,199  B190.0  25.89,10240,3.781,Bowhead Whale
7202100W,199  B190.0  35.45,10240,3.781,Bowhead Whale
7202100X,199  B190.0  38.91,10240,2.112,Bowhead Whale
7202100Y,199  B190.0  43.16,10240,2.406,Bowhead Whale
7202100Z,199  B190.0  46.31,10240,3.287,Bowhead Whale
72021011,199  B190.0  49.44,10240,3.169,Bowhead Whale
72021012,199  B190.0  52.49,10240,2.938,Bowhead Whale
72021015,401  B190  15.47,10240,4.537,Bowhead Whale
72021016,401  B190  26.40,10240,6.10,Bowhead Whale
72021017,410 B190  12.39,10240,6.962,Bowhead Whale
72021018,410 B190 30.29,10240,6.962,Bowhead Whale
72021019,410 B190 41.81,10240,6.962,Bowhead Whale
72021020,410  B190  51.95,10240,4.825,Bowhead Whale
72021021,410 B190 55.94,10240,4.825,Bowhead Whale
72021022,410 B190 71.39,10240,7.563,Bowhead Whale
72021023,410 B190 84.11,10240,7.563,Bowhead Whale
72021024,410 B190 101.7,10240,6.950,Bowhead Whale
72021025,410 B190 114.3,10240,4.362,Bowhead Whale
72021026,410 B190 118.4,10240,4.362,Bowhead Whale
72021027,410 B190 149.8,10240,6.500,Bowhead Whale
72021028,410 B190 171.8,10240,6.500,Bowhead Whale
78018001,157  B190.0  16.81,10240,54.50,Bearded Seal
78018002,225  B190.0  14.85,10240,60.40,Bowhead Whale
78018003,225  B190.0  100.4,10240,15.12,Bowhead Whale
78018004,225  B190.0  100.4,10240,7.563,Bowhead Whale
78018005,225  B190.0  174.4,10240,15.13,Bearded Seal
78018006,225  B190.0  6.744,10240,3.781,Bowhead Whale
78018007,225  B190.0  68.75,10240,3.775,Bowhead Whale
78018008,225  B190.0  45.82,10240,3.775,Bowhead Whale
78018009,225  B190.0  76.21,10240,2.869,Bowhead Whale
7801800A,225  B190.0  148.8,10240,2.962,Bowhead Whale
7801800B,225  B190.0  92.38,10240,3.669,Bowhead Whale
7801800C,225  B190.0  83.06,10240,3.669,Bowhead Whale
7801800D,354  B190.0  163.4,10240,3.669,Bowhead Whale
7801800E,556  B190.0  74.53,10240,3.725,Bowhead Whale
